Time from start: 1, 150 mm
Time from start: 252, 150 mm
Time from start: 504, 150 mm
Time from start: 756, 150 mm
Time from start: 1008, 150 mm
Time from start: 1260, 150 mm
Time from start: 1512, 150 mm
Time from start: 1764, 150 mm
Time from start: 2016, 150 mm
Time from start: 2268, 150 mm
Time from start: 2520, 150 mm
Time from start: 2771, 150 mm
Time from start: 3023, 154 mm
Time from start: 3275, 150 mm
Time from start: 3527, 150 mm
Time from start: 3779, 150 mm
Time from start: 4031, 150 mm
Time from start: 4283, 150 mm
Time from start: 4535, 150 mm
Time from start: 4788, 154 mm
Time from start: 5040, 151 mm
Time from start: 5292, 151 mm
Time from start: 5543, 155 mm
Time from start: 5795, 150 mm
Time from start: 6047, 150 mm
Time from start: 6299, 150 mm
Time from start: 6551, 150 mm
Time from start: 6803, 150 mm
Time from start: 7055, 150 mm
Time from start: 7307, 150 mm
Time from start: 7559, 150 mm
Time from start: 7811, 150 mm
Time from start: 8062, 150 mm
Time from start: 8314, 150 mm
Time from start: 8566, 154 mm
Time from start: 8818, 150 mm
Time from start: 9070, 154 mm
Time from start: 9322, 150 mm
Time from start: 9574, 150 mm
Time from start: 9826, 150 mm
Time from start: 10078, 150 mm
Time from start: 10330, 150 mm
Time from start: 10583, 151 mm
Time from start: 10834, 150 mm
Time from start: 11086, 150 mm
Time from start: 11338, 150 mm
Time from start: 11590, 150 mm
Time from start: 11842, 150 mm
Time from start: 12094, 150 mm
Time from start: 12346, 150 mm
Time from start: 12598, 150 mm
Time from start: 12850, 150 mm
Time from start: 13102, 150 mm
Time from start: 13353, 150 mm
Time from start: 13606, 151 mm
Time from start: 13858, 151 mm
Time from start: 14110, 150 mm
Time from start: 14362, 150 mm
Time from start: 14614, 150 mm
Time from start: 14866, 150 mm
Time from start: 15118, 150 mm
Time from start: 15370, 150 mm
Time from start: 15622, 150 mm
Time from start: 15874, 150 mm
Time from start: 16125, 150 mm
Time from start: 16377, 150 mm
Time from start: 16630, 151 mm
Time from start: 16882, 151 mm
Time from start: 17134, 150 mm
Time from start: 17386, 150 mm
Time from start: 17638, 150 mm
Time from start: 17890, 150 mm
Time from start: 18142, 150 mm
Time from start: 18394, 150 mm
Time from start: 18646, 150 mm
Time from start: 18897, 150 mm
Time from start: 19149, 150 mm
Time from start: 19401, 150 mm
Time from start: 19654, 151 mm
Time from start: 19906, 151 mm
