Time from start: 1, 204 mm
Time from start: 253, 204 mm
Time from start: 505, 203 mm
Time from start: 757, 204 mm
Time from start: 1009, 204 mm
Time from start: 1262, 203 mm
Time from start: 1514, 204 mm
Time from start: 1766, 204 mm
Time from start: 2019, 203 mm
Time from start: 2271, 204 mm
Time from start: 2523, 202 mm
Time from start: 2776, 195 mm
Time from start: 3027, 192 mm
Time from start: 3279, 191 mm
Time from start: 3532, 183 mm
Time from start: 3784, 176 mm
Time from start: 4036, 171 mm
Time from start: 4288, 168 mm
Time from start: 4540, 158 mm
Time from start: 4792, 154 mm
Time from start: 5044, 154 mm
Time from start: 5296, 156 mm
Time from start: 5548, 156 mm
Time from start: 5799, 155 mm
Time from start: 6051, 150 mm
Time from start: 6304, 150 mm
Time from start: 6556, 151 mm
Time from start: 6808, 155 mm
Time from start: 7060, 151 mm
Time from start: 7312, 150 mm
Time from start: 7564, 152 mm
Time from start: 7816, 141 mm
Time from start: 8068, 140 mm
Time from start: 8320, 136 mm
Time from start: 8571, 129 mm
Time from start: 8822, 120 mm
Time from start: 9074, 112 mm
Time from start: 9326, 104 mm
Time from start: 9578, 87 mm
Time from start: 9829, 79 mm
Time from start: 10081, 70 mm
Time from start: 10332, 61 mm
Time from start: 10584, 57 mm
Time from start: 10834, 45 mm
Time from start: 11086, 35 mm
Time from start: 11337, 30 mm
Time from start: 11588, 27 mm
Time from start: 11840, 31 mm
Time from start: 12091, 61 mm
Time from start: 12343, 40 mm
Time from start: 12726, 22511 mm
Time from start: 13109, 22514 mm
Time from start: 13361, 98 mm
Time from start: 13612, 64 mm
Time from start: 13863, 68 mm
Time from start: 14114, 64 mm
Time from start: 14366, 63 mm
Time from start: 14617, 64 mm
Time from start: 14869, 63 mm
Time from start: 15120, 64 mm
Time from start: 15372, 63 mm
Time from start: 15623, 64 mm
Time from start: 15875, 64 mm
Time from start: 16126, 64 mm
Time from start: 16377, 64 mm
Time from start: 16629, 63 mm
Time from start: 16880, 64 mm
Time from start: 17263, 22523 mm
Time from start: 17646, 22521 mm
Time from start: 18029, 22519 mm
Time from start: 18412, 22521 mm
Time from start: 18796, 22525 mm
Time from start: 19179, 22526 mm
Time from start: 19562, 22525 mm
Time from start: 19945, 22518 mm
